Country	Year	Life Ladder	Log GDP per capita	Social support	Healthy life expectancy at birth	Freedom to make life choices	Generosity	Perceptions of corruption	Positive affect	CODE	Happiness score	Whisker-high	Whisker-low	Dystopia (1.88) + residual	Explained by: GDP per capita	Explained by: Social support	Explained by: Healthy life expectancy	Explained by: Freedom to make life choices	Explained by: Generosity	Explained by: Perceptions of corruption
Guinea	2018	5.25222683	7.633718014	0.6304331422	54.40000153	0.7311572433	0.1000112817	0.778393805	0.7438810468	GIN	4.534	4.667	4.402	2.325	0.380	0.829	0.375	0.332	0.207	0.086
Haiti	2018	3.614928007	7.416091919	0.5379759073	55.70000076	0.5914683938	0.4209863842	0.7204447389	0.5841132998	HTI	3.597	3.751	3.443	1.581	0.323	0.688	0.449	0.026	0.419	0.110
Honduras	2018	5.908423901	8.439203262	0.8270670176	67.19999695	0.8721616864	0.1057286933	0.8035647869	0.8718446493	HND	5.860	5.987	5.734	2.323	0.642	1.236	0.828	0.507	0.246	0.078
Hong Kong S.A.R. of China										HKG	5.430	5.523	5.337	0.609	1.438	1.277	1.122	0.440	0.258	0.287
Hungary										HUN	5.758	5.853	5.663	2.020	1.201	1.410	0.828	0.199	0.081	0.020
Iceland										ISL	7.494	7.613	7.374	2.401	1.380	1.624	1.026	0.591	0.354	0.118
India	2018	3.818068743	8.830280304	0.6380519867	60.09999847	0.8904433846	0.07180630416	0.8052633405	0.6572871804	IND	4.015	4.062	3.968	1.126	0.755	0.765	0.588	0.498	0.200	0.085
Indonesia	2018	5.340295792	9.362827301	0.8093788624	62.09999847	0.8793743849	0.4993778169	0.8677294254	0.863717854	IDN	5.192	5.300	5.085	1.382	0.931	1.203	0.660	0.491	0.498	0.028
Iran	2018	4.278117657	9.886064529	0.6737647057	66	0.6033198833	0.04471550137	0.7034397721	0.553196609	IRN	4.548	4.659	4.437	1.121	1.100	0.842	0.785	0.305	0.270	0.125
Iraq										IRQ	4.437	4.610	4.264	1.362	1.043	0.980	0.574	0.241	0.148	0.089
Ireland	2018	6.962335587	11.16332817	0.9378623962	72.30000305	0.8614715934	0.1397834271	0.3622102439	0.8108572364	IRL	7.021	7.102	6.941	1.845	1.499	1.553	0.999	0.516	0.298	0.310
Israel	2018	6.92717886	10.4245739	0.9095954299	73.30000305	0.7246623039	0.05254996195	0.7701348066	0.6634896398	ISR	7.139	7.206	7.071	2.665	1.276	1.455	1.029	0.371	0.261	0.082
Italy	2018	6.516526699	10.48051643	0.9126561284	73.59999847	0.6500092745	-0.02346226946	0.8878248334	0.649023056	ITA	6.223	6.306	6.141	1.984	1.294	1.488	1.039	0.231	0.158	0.030
Ivory Coast	2018	5.26837492	8.236133575	0.6208825707	49.5	0.7125900388	-0.03695965931	0.7909668684	0.6820983887	CIV	4.944	5.072	4.815	2.739	0.569	0.808	0.232	0.352	0.154	0.090
Jamaica										JAM	5.890	6.126	5.653	2.125	0.831	1.478	0.831	0.490	0.107	0.028
